演算チャンネル,(1)CA-CH01:Channel01
窓関数,長方形
演算点数,100000
演算モード,リニアスペクトル
微積分設定,微積分しない
演算範囲,最新データ
オーバーオール(dBrms),16.869
,0dB=1m/s^2
周波数(Hz),データ(dB)
63.7,-57.5203
63.8,-57.5745
63.9,-58.194
64,-58.4972
64.1,-57.9781
64.2,-57.7423
64.3,-57.1795
64.4,-57.7727
64.5,-58.2809
64.6,-58.5671
64.7,-57.634
64.8,-57.323
64.9,-57.6082
65,-58.0628
65.1,-58.2648
65.2,-58.5008
65.3,-57.7568
65.4,-57.6065
65.5,-57.6017
65.6,-58.2225
65.7,-58.5417
65.8,-57.9607
65.9,-57.3381
66,-57.6443
66.1,-58.4024
66.2,-58.8594
66.3,-58.4886
66.4,-57.241
66.5,-57.0029
66.6,-57.3505
66.7,-58.6492
66.8,-58.6834
66.9,-57.4659
67,-56.8829
67.1,-57.0799
67.2,-58.5698
67.3,-59.1573
67.4,-58.4202
67.5,-57.1482
67.6,-56.6061
67.7,-57.9443
67.8,-59.206
67.9,-60.4573
68,-57.3486
68.1,-56.5844
68.2,-57.0188
68.3,-59.4909
68.4,-59.6484
68.5,-57.3097
68.6,-56.4675
68.7,-56.4017
68.8,-59.4364
68.9,-59.992
69,-57.8969
69.1,-56.9313
69.2,-56.5066
69.3,-58.193
69.4,-60.2475
69.5,-57.9405
69.6,-56.492
69.7,-56.2539
69.8,-58.1139
69.9,-59.4263
70,-59.116
70.1,-57.0151
70.2,-56.5425
70.3,-57.3711
70.4,-59.4795
70.5,-59.9425
70.6,-57.2672
70.7,-56.1344
70.8,-57.1493
70.9,-58.8073
71,-59.3935
71.1,-58.2811
71.2,-57.2461
71.3,-56.8367
71.4,-57.7225
71.5,-59.2139
71.6,-58.7512
71.7,-57.675
71.8,-56.7137
71.9,-57.5488
72,-59.1312
72.1,-59.1612
72.2,-58.5934
72.3,-56.7772
72.4,-56.5581
72.5,-58.2517
72.6,-59.5364
72.7,-58.3811
72.8,-56.6916
72.9,-56.7484
73,-58.0881
73.1,-59.5216
73.2,-59.2088
73.3,-57.182
73.4,-57.143
73.5,-57.3922
73.6,-58.8496
73.7,-59.8711
73.8,-57.8421
73.9,-56.5361
74,-57.881
74.1,-57.6812
74.2,-59.1777
74.3,-57.9723
74.4,-57.1764
74.5,-56.1154
74.6,-57.4795
74.7,-59.2252
74.8,-58.6112
74.9,-57.1787
75,-56.1791
75.1,-57.0961
75.2,-59.1101
75.3,-59.1963
75.4,-57.6204
75.5,-56.8136
75.6,-56.502
75.7,-58.478
75.8,-59.3554
75.9,-58.1455
76,-56.6167
76.1,-56.3998
76.2,-57.4451
76.3,-59.7237
76.4,-59.0721
76.5,-57.8626
76.6,-56.6749
76.7,-56.8814
76.8,-58.2812
76.9,-58.4082
77,-58.0336
77.1,-57.1278
77.2,-57.9855
77.3,-57.9649
77.4,-58.4936
77.5,-57.8082
77.6,-57.018
77.7,-57.3485
77.8,-57.8082
77.9,-59.7227
78,-58.7169
78.1,-57.8558
78.2,-57.6484
78.3,-57.6281
78.4,-60.3064
78.5,-59.3042
78.6,-57.2618
78.7,-56.7158
78.8,-57.4198
78.9,-59.0351
79,-59.1848
79.1,-57.1968
79.2,-57.5525
79.3,-56.8521
79.4,-58.6368
79.5,-58.3012
79.6,-58.212
79.7,-57.7211
79.8,-57.5727
79.9,-57.3346
80,-57.9195
80.1,-58.1865
80.2,-57.9067
80.3,-57.9083
80.4,-57.2323
80.5,-57.735
80.6,-58.3012
80.7,-58.0994
80.8,-57.436
80.9,-57.7614
81,-57.7515
81.1,-58.5047
81.2,-58.014
81.3,-57.6745
81.4,-57.1358
81.5,-57.3594
81.6,-58.2095
81.7,-58.085
81.8,-57.8199
81.9,-57.2667
82,-57.674
82.1,-57.9669
82.2,-58.3658
82.3,-57.9695
82.4,-57.9299
82.5,-57.759
82.6,-57.5673
82.7,-58.1416
82.8,-58.0042
82.9,-57.5558
83,-57.6126
83.1,-57.4877
83.2,-58.0628
83.3,-57.9836
83.4,-58.1055
83.5,-57.7623
83.6,-57.4205
83.7,-57.8163
83.8,-57.954
83.9,-57.8606
84,-57.5998
84.1,-57.39
84.2,-57.4697
84.3,-58.2794
84.4,-58.0278
84.5,-58.1848
84.6,-57.6866
84.7,-57.7763
84.8,-58.1185
84.9,-58.2662
85,-58.0651
85.1,-57.7337
85.2,-57.6359
85.3,-57.8689
85.4,-58.0308
85.5,-58.1692
85.6,-57.7725
85.7,-57.7747
85.8,-57.8687
85.9,-58.1016
86,-58.1348
86.1,-57.696
86.2,-57.5673
86.3,-57.7412
86.4,-57.6268
86.5,-57.9601
86.6,-57.6823
86.7,-57.6935
86.8,-57.6418
86.9,-57.7193
87,-58.0139
87.1,-58.1749
87.2,-57.8114
87.3,-57.4853
87.4,-57.7355
87.5,-57.9869
87.6,-57.9996
87.7,-58.2894
87.8,-57.5137
87.9,-57.4586
88,-58.2662
88.1,-57.7791
88.2,-57.6074
88.3,-57.6677
88.4,-57.5504
88.5,-57.7385
88.6,-57.9164
88.7,-57.9498
88.8,-58.1836
88.9,-57.4822
89,-57.7604
89.1,-57.9258
89.2,-57.9195
89.3,-57.9187
89.4,-57.8416
89.5,-57.656
89.6,-57.6007
89.7,-57.9121
89.8,-57.777
89.9,-57.7307
90,-57.6617
90.1,-57.8693
90.2,-57.9594
90.3,-57.9875
90.4,-57.8805
90.5,-57.689
90.6,-57.6554
90.7,-57.872
90.8,-57.7753
90.9,-58.0614
91,-57.7043
91.1,-57.7663
91.2,-57.8362
91.3,-58.0381
91.4,-57.8614
91.5,-57.7352
91.6,-57.7967
91.7,-57.7478
91.8,-57.7879
91.9,-57.6358
92,-57.837
92.1,-57.7274
92.2,-57.8481
92.3,-57.7648
92.4,-57.7172
92.5,-57.8048
92.6,-57.7521
92.7,-57.6192
92.8,-57.8672
92.9,-57.8096
93,-57.9628
93.1,-57.5716
93.2,-57.4746
93.3,-57.8357
93.4,-57.865
93.5,-57.7696
93.6,-57.8928
93.7,-57.7536
93.8,-57.8372
93.9,-57.7333
94,-58.0407
94.1,-57.5537
94.2,-57.8328
94.3,-57.5655
94.4,-57.809
94.5,-57.9126
94.6,-57.9125
94.7,-57.6964
94.8,-57.6497
94.9,-57.6917
95,-57.8062
95.1,-57.6279
95.2,-57.7686
95.3,-57.6432
95.4,-57.6035
95.5,-57.9876
95.6,-57.6771
95.7,-57.7467
95.8,-57.5337
95.9,-57.7
96,-57.8137
96.1,-57.6736
96.2,-57.8017
96.3,-57.7264
96.4,-57.8876
96.5,-57.7635
96.6,-57.7495
96.7,-57.8171
96.8,-57.7775
96.9,-57.7506
97,-57.5961
97.1,-57.8828
97.2,-58.0241
97.3,-57.7741
97.4,-57.812
97.5,-57.7634
97.6,-57.8237
97.7,-57.9516
97.8,-57.6383
97.9,-57.539
98,-57.8963
98.1,-57.8103
98.2,-57.8711
98.3,-57.6732
98.4,-57.8104
98.5,-57.588
98.6,-57.6493
98.7,-57.6909
98.8,-57.8207
98.9,-57.6995
99,-57.7609
99.1,-57.7314
99.2,-57.7307
99.3,-57.7069
99.4,-57.6748
99.5,-57.8406
99.6,-57.9446
99.7,-57.4802
99.8,-57.8511
99.9,-57.737
100,-57.6965
100.1,-57.8649
100.2,-57.7405
100.3,-57.7979
100.4,-57.7247
100.5,-57.7577
100.6,-57.6855
100.7,-57.697
100.8,-57.754
100.9,-57.6511
101,-57.6454
101.1,-57.6305
101.2,-57.7153
101.3,-57.8004
101.4,-57.7657
101.5,-57.9404
101.6,-57.5959
101.7,-57.7388
101.8,-57.7191
101.9,-57.5703
102,-57.7452
102.1,-57.6423
102.2,-57.8623
102.3,-57.7195
