#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
2010/11/03 03:09:49,176800,0.068
2010/11/03 03:09:49,177000,0.320
2010/11/03 03:09:49,177200,-0.002
2010/11/03 03:09:49,177400,0.070
2010/11/03 03:09:49,177600,0.072
2010/11/03 03:09:49,177800,-0.020
2010/11/03 03:09:49,178000,0.130
2010/11/03 03:09:49,178200,0.086
2010/11/03 03:09:49,178400,-0.110
2010/11/03 03:09:49,178600,-0.116
2010/11/03 03:09:49,178800,0.038
2010/11/03 03:09:49,179000,0.094
2010/11/03 03:09:49,179200,0.066
2010/11/03 03:09:49,179400,0.182
2010/11/03 03:09:49,179600,0.164
2010/11/03 03:09:49,179800,0.166
2010/11/03 03:09:49,180000,0.236
2010/11/03 03:09:49,180200,0.204
2010/11/03 03:09:49,180400,0.088
2010/11/03 03:09:49,180600,0.088
2010/11/03 03:09:49,180800,0.154
2010/11/03 03:09:49,181000,0.162
2010/11/03 03:09:49,181200,0.108
2010/11/03 03:09:49,181400,0.096
2010/11/03 03:09:49,181600,0.172
2010/11/03 03:09:49,181800,0.230
2010/11/03 03:09:49,182000,0.212
2010/11/03 03:09:49,182200,0.106
2010/11/03 03:09:49,182400,0.068
2010/11/03 03:09:49,182600,0.144
2010/11/03 03:09:49,182800,0.152
2010/11/03 03:09:49,183000,0.052
2010/11/03 03:09:49,183200,-0.022
2010/11/03 03:09:49,183400,-0.032
2010/11/03 03:09:49,183600,-0.086
2010/11/03 03:09:49,183800,-0.172
2010/11/03 03:09:49,184000,-0.144
2010/11/03 03:09:49,184200,-0.144
2010/11/03 03:09:49,184400,-0.140
2010/11/03 03:09:49,184600,-0.084
2010/11/03 03:09:49,184800,-0.124
2010/11/03 03:09:49,185000,-0.006
2010/11/03 03:09:49,185200,0.080
2010/11/03 03:09:49,185400,0.054
2010/11/03 03:09:49,185600,-0.032
2010/11/03 03:09:49,185800,0.016
2010/11/03 03:09:49,186000,-0.012
2010/11/03 03:09:49,186200,-0.038
2010/11/03 03:09:49,186400,-0.144
2010/11/03 03:09:49,186600,-0.098
2010/11/03 03:09:49,186800,-0.014
2010/11/03 03:09:49,187000,-0.050
2010/11/03 03:09:49,187200,-0.046
2010/11/03 03:09:49,187400,-0.052
2010/11/03 03:09:49,187600,-0.006
2010/11/03 03:09:49,187800,-0.024
2010/11/03 03:09:49,188000,0.002
2010/11/03 03:09:49,188200,0.052
2010/11/03 03:09:49,188400,0.026
2010/11/03 03:09:49,188600,-0.004
2010/11/03 03:09:49,188800,-0.004
2010/11/03 03:09:49,189000,0.016
2010/11/03 03:09:49,189200,0.014
2010/11/03 03:09:49,189400,0.120
2010/11/03 03:09:49,189600,0.138
2010/11/03 03:09:49,189800,0.150
2010/11/03 03:09:49,190000,0.168
2010/11/03 03:09:49,190200,0.176
2010/11/03 03:09:49,190400,0.194
2010/11/03 03:09:49,190600,0.160
2010/11/03 03:09:49,190800,0.062
2010/11/03 03:09:49,191000,0.004
2010/11/03 03:09:49,191200,-0.006
2010/11/03 03:09:49,191400,-0.060
2010/11/03 03:09:49,191600,-0.078
2010/11/03 03:09:49,191800,-0.084
2010/11/03 03:09:49,192000,-0.070
2010/11/03 03:09:49,192200,-0.064
2010/11/03 03:09:49,192400,-0.014
2010/11/03 03:09:49,192600,0.008
2010/11/03 03:09:49,192800,0.008
2010/11/03 03:09:49,193000,0.008
2010/11/03 03:09:49,193200,0.016
2010/11/03 03:09:49,193400,0.006
2010/11/03 03:09:49,193600,0.008
2010/11/03 03:09:49,193800,-0.058
2010/11/03 03:09:49,194000,-0.058
2010/11/03 03:09:49,194200,-0.050
2010/11/03 03:09:49,194400,-0.022
2010/11/03 03:09:49,194600,-0.022
2010/11/03 03:09:49,194800,-0.120
2010/11/03 03:09:49,195000,-0.044
2010/11/03 03:09:49,195200,-0.162
2010/11/03 03:09:49,195400,-0.168
2010/11/03 03:09:49,195600,-0.094
2010/11/03 03:09:49,195800,-0.212
2010/11/03 03:09:49,196000,-0.246
2010/11/03 03:09:49,196200,-0.150
2010/11/03 03:09:49,196400,-0.100
2010/11/03 03:09:49,196600,-0.082
2010/11/03 03:09:49,196800,-0.074
2010/11/03 03:09:49,197000,-0.070
2010/11/03 03:09:49,197200,0.014
2010/11/03 03:09:49,197400,0.080
2010/11/03 03:09:49,197600,0.058
2010/11/03 03:09:49,197800,0.046
2010/11/03 03:09:49,198000,0.130
2010/11/03 03:09:49,198200,0.118
2010/11/03 03:09:49,198400,0.064
2010/11/03 03:09:49,198600,0.088
2010/11/03 03:09:49,198800,0.150
2010/11/03 03:09:49,199000,0.160
2010/11/03 03:09:49,199200,0.134
2010/11/03 03:09:49,199400,0.086
2010/11/03 03:09:49,199600,0.118
2010/11/03 03:09:49,199800,0.154
2010/11/03 03:09:49,200000,0.142
2010/11/03 03:09:49,200200,0.192
2010/11/03 03:09:49,200400,0.202
2010/11/03 03:09:49,200600,0.238
2010/11/03 03:09:49,200800,0.192
2010/11/03 03:09:49,201000,0.154
2010/11/03 03:09:49,201200,0.232
2010/11/03 03:09:49,201400,0.338
2010/11/03 03:09:49,201600,0.334
2010/11/03 03:09:49,201800,0.304
2010/11/03 03:09:49,202000,0.194
2010/11/03 03:09:49,202200,0.168
2010/11/03 03:09:49,202400,0.136
2010/11/03 03:09:49,202600,0.136
2010/11/03 03:09:49,202800,0.092
2010/11/03 03:09:49,203000,0.034
2010/11/03 03:09:49,203200,-0.042
2010/11/03 03:09:49,203400,-0.072
2010/11/03 03:09:49,203600,-0.062
